Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] New
fa2032b,FATAATA-x2032_B_401_v1,FATAATA-x2032,Z608065044,CN(C)S(=O)(=O)c1cn[nH]c1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2032a,True
fa2035a,FATAATA-x2035_A_401_v1,FATAATA-x2035,Z666290862,CC(C)(C)c1cn2cccnc2n1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2035a,True
fa2035b,FATAATA-x2035_B_360_v1,FATAATA-x2035,Z666290862,CC(C)(C)c1cn2cccnc2n1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2035a,True
fa2040a,FATAATA-x2040_A_401_v1,FATAATA-x2040,Z69092635,Cc1noc(C)c1C(=O)NCCC1=CCCCC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2040a,True
fa2040b,FATAATA-x2040_B_401_v1,FATAATA-x2040,Z69092635,Cc1noc(C)c1C(=O)NCCC1=CCCCC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2040a,True
fa2044a,FATAATA-x2044_A_361_v1,FATAATA-x2044,Z728939702,CNc1cnc2ccccc2n1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa2044a,True
fa2044b,FATAATA-x2044_B_360_v1,FATAATA-x2044,Z728939702,CNc1cnc2ccccc2n1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa2044a,True
fa2045a,FATAATA-x2045_A_361_v1,FATAATA-x2045,Z729024430,CCN(CC)C(=O)c1ccnc(C)n1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2045a,True
fa2045b,FATAATA-x2045_B_401_v1,FATAATA-x2045,Z729024430,CCN(CC)C(=O)c1ccnc(C)n1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2045a,True
fa2047a,FATAATA-x2047_A_402_v1,FATAATA-x2047,Z73240835,Cc1csc(NC(=O)C2CCOCC2)n1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2047a,True
fa2047b,FATAATA-x2047_B_401_v1,FATAATA-x2047,Z73240835,Cc1csc(NC(=O)C2CCOCC2)n1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2047a,True
fa2053a,FATAATA-x2053_A_361_v1,FATAATA-x2053,Z751811134,CN(C)S(=O)(=O)c1cccnc1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2053a,True
fa2053b,FATAATA-x2053_B_360_v1,FATAATA-x2053,Z751811134,CN(C)S(=O)(=O)c1cccnc1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840/A/401,1 - FATAATA-x1840/A/401/1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840/A/401,1 - fa1840/A/401/1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2053a,True
fa2057a,FATAATA-x2057_A_401_v1,FATAATA-x2057,Z760048004,Cc1cccc(NC(=O)[C@@H]2CCCN2)n1,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985/A/360,3 - FATAATA-x1985/A/360/1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985/A/360,3 - fa1985/A/360/1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa2057a,True
